foodatlas_id	chebi	cdno
e10494	['main group molecular entity', 'polyatomic entity']	['others']
e10495	['main group molecular entity', 'polyatomic entity']	['others']
e10496	['main group molecular entity', 'polyatomic entity']	['others']
e10497	['main group molecular entity', 'polyatomic entity']	['others']
e10498	['main group molecular entity']	['others']
e10499	['main group molecular entity', 'polyatomic entity']	['others']
e10500	['main group molecular entity', 'polyatomic entity']	['others']
e10501	['main group molecular entity', 'polyatomic entity']	['others']
e10502	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
e10503	['main group molecular entity', 'polyatomic entity']	['others']
e10504	['main group molecular entity']	['others']
e10505	['main group molecular entity']	['others']
e10506	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
e10507	['main group molecular entity', 'polyatomic entity']	['others']
e10508	['main group molecular entity', 'polyatomic entity', 'mancude ring']	['others']
e10509	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
e10510	['main group molecular entity', 'polyatomic entity']	['others']
e10511	['main group molecular entity', 'polyatomic entity']	['others']
e10512	['main group molecular entity', 'polyatomic entity']	['others']
e10513	['main group molecular entity']	['others']
e10514	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10515	['main group molecular entity', 'polyatomic entity']	['others']
e10516	['main group molecular entity']	['others']
e10517	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
e10518	['main group molecular entity', 'polyatomic entity']	['others']
e10519	['main group molecular entity', 'polyatomic entity']	['others']
e10520	['main group molecular entity', 'polyatomic entity']	['others']
e10521	['main group molecular entity', 'polyatomic entity']	['others']
e10522	['main group molecular entity', 'polyatomic entity']	['others']
e10523	['main group molecular entity', 'polyatomic entity']	['others']
e10524	['main group molecular entity', 'polyatomic entity']	['others']
e10525	['main group molecular entity', 'polyatomic entity']	['others']
e10526	['main group molecular entity', 'polyatomic entity']	['others']
e10527	['transition element molecular entity', 'main group molecular entity']	['others']
e10528	['main group molecular entity', 'polyatomic entity']	['others']
e10529	['main group molecular entity', 'polyatomic entity']	['others']
e10530	['main group molecular entity', 'polyatomic entity']	['others']
e10531	['main group molecular entity', 'polyatomic entity']	['others']
e10532	['main group molecular entity', 'polyatomic entity']	['others']
e10533	['main group molecular entity', 'polyatomic entity']	['others']
e10534	['main group molecular entity']	['others']
e10535	['main group molecular entity', 'polyatomic entity']	['others']
e10536	['main group molecular entity', 'polyatomic entity']	['others']
e10537	['main group molecular entity', 'polyatomic entity']	['others']
e10538	['main group molecular entity', 'polyatomic entity']	['others']
e10539	['main group molecular entity', 'polyatomic entity']	['others']
e10540	['main group molecular entity', 'polyatomic entity']	['others']
e10541	['main group molecular entity', 'polyatomic entity']	['others']
e10542	['main group molecular entity', 'polyatomic entity']	['others']
e10543	['main group molecular entity']	['others']
e10544	['main group molecular entity', 'polyatomic entity']	['others']
e10545	['main group molecular entity', 'polyatomic entity']	['others']
e10546	['main group molecular entity', 'polyatomic entity']	['others']
e10547	['main group molecular entity', 'polyatomic entity']	['others']
e10548	['main group molecular entity', 'polyatomic entity']	['others']
e10549	['main group molecular entity', 'polyatomic entity']	['others']
e10550	['main group molecular entity', 'polyatomic entity']	['others']
e10551	['main group molecular entity', 'polyatomic entity']	['others']
e10552	['main group molecular entity', 'polyatomic entity']	['others']
e10553	['main group molecular entity', 'polyatomic entity']	['others']
e10554	[]	['others']
e10555	['main group molecular entity', 'polyatomic entity']	['others']
e10556	['main group molecular entity', 'polyatomic entity']	['others']
e10557	['main group molecular entity', 'polyatomic entity']	['others']
e10558	['main group molecular entity', 'polyatomic entity']	['others']
e10559	['main group molecular entity', 'polyatomic entity']	['others']
e10560	['main group molecular entity', 'polyatomic entity']	['others']
e10561	['main group molecular entity', 'polyatomic entity']	['others']
e10562	['main group molecular entity', 'polyatomic entity']	['others']
e10563	['main group molecular entity', 'polyatomic entity']	['others']
e10564	['main group molecular entity', 'polyatomic entity']	['others']
e10565	['main group molecular entity', 'polyatomic entity']	['others']
e10566	['main group molecular entity', 'polyatomic entity']	['others']
e10567	['main group molecular entity', 'polyatomic entity']	['others']
e10568	['main group molecular entity', 'polyatomic entity']	['others']
e10569	['main group molecular entity', 'polyatomic entity']	['others']
e10570	['main group molecular entity', 'polyatomic entity', 'ion']	['others']
e10571	['main group molecular entity', 'polyatomic entity', 'inorganic molecular entity']	['others']
e10572	['main group molecular entity', 'polyatomic entity']	['others']
e10573	['transition element molecular entity', 'polyatomic entity', 'ion']	['others']
e10574	['transition element molecular entity', 'polyatomic entity', 'ion']	['others']
e10575	['main group molecular entity', 'polyatomic entity']	['others']
e10576	['main group molecular entity', 'polyatomic entity']	['others']
e10577	['main group molecular entity', 'polyatomic entity']	['others']
e10578	['main group molecular entity', 'polyatomic entity']	['others']
e10579	['main group molecular entity', 'polyatomic entity']	['others']
e10580	[]	['others']
e10581	['main group molecular entity', 'polyatomic entity']	['others']
e10582	['main group molecular entity', 'polyatomic entity']	['others']
e10583	['main group molecular entity', 'polyatomic entity', 'inorganic molecular entity']	['others']
e10584	['main group molecular entity', 'polyatomic entity']	['others']
e10585	['main group molecular entity', 'polyatomic entity']	['others']
e10586	['main group molecular entity', 'polyatomic entity']	['others']
e10587	['main group molecular entity', 'polyatomic entity']	['others']
e10588	['main group molecular entity', 'polyatomic entity']	['others']
e10589	['main group molecular entity']	['lipid', 'others']
e10590	['main group molecular entity', 'polyatomic entity']	['others']
e10591	['main group molecular entity', 'polyatomic entity']	['others']
e10592	['main group molecular entity', 'polyatomic entity']	['others']
e10593	['transition element molecular entity', 'polyatomic entity']	['others']
e10594	['main group molecular entity', 'polyatomic entity']	['others']
e10595	['main group molecular entity', 'polyatomic entity']	['others']
e10596	['main group molecular entity', 'polyatomic entity', 'inorganic molecular entity', 'ion']	['others']
e10597	['main group molecular entity', 'polyatomic entity', 'inorganic molecular entity', 'ion']	['others']
e10598	['main group molecular entity', 'polyatomic entity']	['others']
e10599	['main group molecular entity', 'polyatomic entity']	['others']
e10600	['main group molecular entity', 'polyatomic entity']	['others']
e10601	['main group molecular entity', 'polyatomic entity']	['others']
e10602	['main group molecular entity', 'polyatomic entity']	['others']
e10603	['main group molecular entity', 'polyatomic entity']	['others']
e10604	[]	['others']
e10605	['main group molecular entity', 'polyatomic entity']	['others']
e10606	['main group molecular entity', 'polyatomic entity']	['others']
e10607	['main group molecular entity', 'polyatomic entity']	['others']
e10608	['main group molecular entity', 'polyatomic entity']	['others']
e10609	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
e10610	['main group molecular entity', 'polyatomic entity']	['others']
e10611	['main group molecular entity', 'polyatomic entity']	['others']
e10612	['main group molecular entity', 'polyatomic entity']	['others']
e10613	['main group molecular entity', 'polyatomic entity']	['amino acid and protein']
