foodatlas_id	head_id	relationship_id	tail_id	source
co267	e61556	r2	e60428	chebi
co268	e13875	r2	e13880	chebi
co269	e11573	r2	e11352	chebi
co270	e62737	r2	e11573	chebi
co271	e13877	r2	e11659	chebi
co272	e13879	r2	e64236	chebi
co273	e59703	r2	e13879	chebi
co274	e60614	r2	e59703	chebi
co275	e60614	r2	e60909	chebi
co276	e61627	r2	e59703	chebi
co277	e61627	r2	e60041	chebi
co278	e60977	r2	e13879	chebi
co279	e61030	r2	e60977	chebi
co280	e61030	r2	e60909	chebi
co281	e60837	r2	e60977	chebi
co282	e60837	r2	e60041	chebi
co283	e62724	r2	e65051	chebi
co284	e60741	r2	e11776	chebi
co285	e63657	r2	e11776	chebi
co286	e13199	r2	e64357	chebi
co287	e13304	r2	e13200	chebi
co288	e60307	r2	e13304	chebi
co289	e61335	r2	e13304	chebi
co290	e61294	r2	e13304	chebi
co291	e61046	r2	e13304	chebi
co292	e10615	r2	e13254	chebi
co293	e13253	r2	e13254	chebi
co294	e13366	r2	e11439	chebi
co295	e62858	r2	e13366	chebi
co296	e61053	r2	e11503	chebi
co297	e13362	r2	e12692	chebi
co298	e13362	r2	e11492	chebi
co299	e13417	r2	e13362	chebi
co300	e63844	r2	e63975	chebi
co301	e62351	r2	e63975	chebi
co302	e63841	r2	e13038	chebi
co303	e63840	r2	e13038	chebi
co304	e11374	r2	e11258	chebi
co305	e65181	r2	e12703	chebi
co306	e65181	r2	e63975	chebi
co307	e65231	r2	e12703	chebi
co308	e65231	r2	e13885	chebi
co309	e65252	r2	e13289	chebi
co310	e63807	r2	e13289	chebi
co311	e63807	r2	e63975	chebi
co312	e63808	r2	e13289	chebi
co313	e63808	r2	e13885	chebi
co314	e63804	r2	e12654	chebi
co315	e63804	r2	e63975	chebi
co316	e63805	r2	e12654	chebi
co317	e63805	r2	e13885	chebi
co318	e63806	r2	e63975	chebi
co319	e63810	r2	e13885	chebi
co320	e13624	r2	e13623	chebi
co321	e13624	r2	e13195	chebi
co322	e63806	r2	e13623	chebi
co323	e63810	r2	e13623	chebi
co324	e13544	r2	e13543	chebi
co325	e60962	r2	e63975	chebi
co326	e60962	r2	e13543	chebi
co327	e65281	r2	e13231	chebi
co328	e65281	r2	e63975	chebi
co329	e65232	r2	e13231	chebi
co330	e65232	r2	e13885	chebi
co331	e63842	r2	e63975	chebi
co332	e63546	r2	e13575	chebi
co333	e12651	r2	e12652	chebi
co334	e13521	r2	e12651	chebi
co335	e13522	r2	e12651	chebi
co336	e63975	r2	e13522	chebi
co337	e13547	r2	e13522	chebi
co338	e13038	r2	e13522	chebi
co339	e13042	r2	e13522	chebi
co340	e13195	r2	e13042	chebi
co341	e13885	r2	e13042	chebi
co342	e62221	r2	e12823	chebi
co343	e61984	r2	e12823	chebi
co344	e59724	r2	e12823	chebi
co345	e11498	r2	e59724	chebi
co346	e13729	r2	e12652	chebi
co347	e64470	r2	e12652	chebi
co348	e13682	r2	e13684	chebi
co349	e13353	r2	e11346	chebi
co350	e63277	r2	e13348	chebi
co351	e63206	r2	e13348	chebi
co352	e60991	r2	e13353	chebi
co353	e61495	r2	e60991	chebi
co354	e61364	r2	e60991	chebi
co355	e61717	r2	e60991	chebi
co356	e12053	r2	e13353	chebi
co357	e60841	r2	e12053	chebi
co358	e64532	r2	e60841	chebi
co359	e13483	r2	e12053	chebi
co360	e13517	r2	e13518	chebi
co361	e12035	r2	e13517	chebi
co362	e13653	r2	e13517	chebi
co363	e12681	r2	e13517	chebi
co364	e12036	r2	e13517	chebi
co365	e13150	r2	e12389	chebi
co366	e60155	r2	e13150	chebi
co367	e64429	r2	e60155	chebi
co368	e61883	r2	e60155	chebi
co369	e64430	r2	e60155	chebi
co370	e12714	r2	e12389	chebi
co371	e60385	r2	e12389	chebi
co372	e11618	r2	e13180	chebi
co373	e61289	r2	e11618	chebi
co374	e63748	r2	e11618	chebi
co375	e63809	r2	e13691	chebi
co376	e13268	r2	e63565	chebi
co377	e13267	r2	e13268	chebi
co378	e61384	r2	e13267	chebi
co379	e64525	r2	e13268	chebi
co380	e61597	r2	e64525	chebi
co381	e62835	r2	e13024	chebi
co382	e13443	r2	e11977	chebi
co383	e62648	r2	e13443	chebi
co384	e62648	r2	e62368	chebi
co385	e62615	r2	e13443	chebi
co386	e62615	r2	e62368	chebi
co387	e62927	r2	e13443	chebi
co388	e62927	r2	e62368	chebi
co389	e63434	r2	e13443	chebi
co390	e63434	r2	e62368	chebi
co391	e62907	r2	e13443	chebi
co392	e61783	r2	e13443	chebi
co393	e63516	r2	e13443	chebi
co394	e63240	r2	e13443	chebi
co395	e60722	r2	e13443	chebi
co396	e60050	r2	e13443	chebi
co397	e60700	r2	e13443	chebi
co398	e13448	r2	e13353	chebi
co399	e11639	r2	e13448	chebi
co400	e13719	r2	e11639	chebi
co401	e60546	r2	e13719	chebi
co402	e60546	r2	e12636	chebi
co403	e63488	r2	e13719	chebi
co404	e63488	r2	e12636	chebi
co405	e13720	r2	e11639	chebi
co406	e13772	r2	e13720	chebi
co407	e13772	r2	e13598	chebi
co408	e11463	r2	e11639	chebi
co409	e60101	r2	e11463	chebi
