name	foodatlas_id
cow milk cured cheese food product	['e434']
cow milk dessert	['e435']
cow milk hard cheese food product	['e436']
cow milk pie food product	['e437']
cow milk product based dressing	['e438']
cow milk sherbet food product	['e439']
cow milk snack	['e440']
cowpea vegetable food product	['e441']
cow milk processed cheese product	['e442']
cranberry food product	['e443']
cranberry preserve or jam food product	['e444']
crayfish food product	['e445']
cream dressing food product	['e446']
crustacean food product	['e447']
cucumber or gherkin pickle food product	['e448']
cucumber food product	['e449']
cured cheese food product	['e450']
cusk food product	['e451']
cuttlefish food product	['e452']
dairy dessert food product	['e453']
dairy product based dressing	['e454']
date food product	['e455']
deep sea lobster food product	['e456']
deer meat food product	['e457']
devilfish food product	['e458']
devils tongue food product	['e459']
dill food product	['e460']
diluted apple beverage	['e461']
diluted citrus fruit beverage	['e462']
diluted fruit beverage	['e463']
diluted grape beverage	['e464']
diluted orange beverage	['e465']
dogfish food product	['e466']
dolphinfish food product	['e467']
doughnut food product	['e468']
duck egg food product	['e469']
milled durum wheat	['e470']
durum wheat food product	['e471']
eel food product	['e472']
eggplant food product	['e473']
emulsified cheese product	['e474']
english walnut food product	['e475']
european blackberry food product	['e476']
european blackberry preserve or jam food product	['e477']
european filbert nut food product	['e478']
fenugreek food product	['e479']
fermented cereal beverage	['e480']
fern vegetable food product	['e481']
field corn based bakery food product	['e482']
field corn cereal food product	['e483']
field corn food product	['e484']
field corn vegetable food product	['e485']
field pea vegetable food product	['e486']
fig food product	['e487']
fig preserve or jam food product	['e488']
fish refined food product	['e489']
fish soup	['e490']
flaxseed food product	['e491']
flax vegetable food product	['e492']
florida stone crab food product	['e493']
flying fish food product	['e494']
fermented milk food product	['e495']
freshwater drum food product	['e496']
frigate tuna food product	['e497']
frozen dairy dessert	['e498']
frozen dairy food product	['e499']
frozen yogurt food product	['e500']
fruit butter food product	['e501']
fruit candy food product	['e502']
fruit jelly food product	['e503']
fruit pie food product	['e504']
fruit salad food product	['e505']
fruit spread or sauce	['e506']
fungus vegetable food product	['e507']
garlic food product	['e508']
chickpea (whole or pieces)	['e509']
ginger food product	['e510']
ginger preserve or jam food product	['e511']
ginseng tea	['e512']
ginseng food product	['e513']
ginseng plant food product	['e514']
goat evaporated milk food product	['e515']
goat milk beverage	['e516']
goat dairy food product	['e517']
goat milk (pasteurized)	['e518']
goat powdered milk food product	['e519']
gooseberry food product	['e520']
gourd food product	['e521']
grain based bakery food product	['e522']
grape spread or sauce	['e523']
grape juice food product	['e524']
grape preserve or jam food product	['e525']
grape vinegar food product	['e526']
grapefruit food product	['e527']
gray mullet food product	['e528']
great northern bean food product	['e529']
green bean food product	['e530']
green bell pepper food product	['e531']
green olive food product	['e532']
greenland halibut food product	['e533']
grouper food product	['e534']
grouse meat food product	['e535']
guava food product	['e536']
haddock food product	['e537']
halibut food product	['e538']
ham salad food product	['e539']
hard cheese food product	['e540']
hard grating cheese food product	['e541']
hard wheat food product	['e542']
hemp food product	['e543']
herring food product	['e544']
horse meat food product	['e545']
horseradish plant food product	['e546']
hot pepper spice food product	['e547']
hot pepper food product	['e548']
huckleberry food product	['e549']
human milk based food product	['e550']
hungarian wax pepper food product	['e551']
hungarian wax pepper pickle food product	['e552']
ice cow milk food product	['e553']
ice goat milk food product	['e554']
mammalian ice milk food product	['e555']
imitation fruit preserve or jam food product	['e556']
inconnu food product	['e557']
insect refined food product	['e558']
jack family (or carangidae) food product	['e559']
jalapeno pepper food product	['e560']
jerusalem artichoke food product	['e561']
jewfish food product	['e562']
kale food product	['e563']
kangaroo meat food product	['e564']
kegani crab food product	['e565']
kelp food product	['e566']
kidney bean food product	['e567']
king crab food product	['e568']
konbu vegetable food product	['e569']
krill food product	['e570']
kumquat food product	['e571']
lake herring food product	['e572']
lamb meat food product	['e573']
langostino food product	['e574']
leguminous vegetable food product	['e575']
lemon food product	['e576']
lentil food product	['e577']
lettuce head food product	['e578']
lima bean food product	['e579']
acerola food product	['e580']
lime preserve or jam food product	['e581']
lingonberry food product	['e582']
lingonberry preserve or jam	['e583']
lychee food product	['e584']
lobster food product	['e585']
loganberry food product	['e586']
longtail tuna food product	['e587']
lumpfish food product	['e588']
lupine bean food product	['e589']
macaroni or noodle food product	['e590']
mace food product	['e591']
mackerel food product	['e592']
malabar snapper food product	['e593']
mandarin orange food product	['e594']
mandarin orange juice	['e595']
mango food product	['e596']
mango nectar beverage	['e597']
marjoram food product	['e598']
marlin food product	['e599']
mate beverage	['e600']
meat salad food product	['e601']
melon food product	['e602']
microbial refined food product	['e603']
milk dessert food product	['e604']
milk product based dressing	['e605']
milkfish food product	['e606']
millet food product	['e607']
miracle berry food product	['e608']
mixed fruit beverage	['e609']
mollusc food product	['e610']
moreton bay chestnut food product	['e611']
mung bean food product	['e612']
mushroom pickle food product	['e613']
mushroom soup food product	['e614']
mushroom (whole or pieces)	['e615']
mussel food product	['e616']
mustard food product	['e617']
naranjilla juice product	['e618']
navy bean food product	['e619']
nevada jointfir beverage	['e620']
norway lobster food product	['e621']
nut candy	['e622']
nutmeg food product	['e623']
milled oat food product	['e624']
okra food product	['e625']
olive fat or oil refined food product	['e626']
olive food product	['e627']
onion flavouring food product	['e628']
onion soup food product	['e629']
onion food product	['e630']
orange spread or sauce	['e631']
orange food product	['e632']
orange preserve or jam food product	['e633']
oregano food product	['e634']
oriental blue crab food product	['e635']
pacific salmon food product	['e636']
paddlefish food product	['e637']
palinurid spiny lobster food product	['e638']
palm fat or oil refined food product	['e639']
palm vegetable food product	['e640']
pancake or waffle food product	['e641']
papaya food product	['e642']
papaya leaf food product	['e643']
papaya nectar beverage	['e644']
parsley food product	['e645']
parsnip food product	['e646']
passion food product	['e647']
passion fruit juice	['e648']
pasteurized blended cheese food product	['e649']
pasteurized cheese food product	['e650']
pasteurized cheese spread food product	['e651']
pasteurized process cheese food product	['e652']
pasteurized process cheese spread food product	['e653']
pea soup food product	['e654']
peach butter food product	['e655']
peach food product	['e656']
peach preserve or jam	['e657']
peanut candy food product	['e658']
peanut fat or oil refined food product	['e659']
peanut food product	['e660']
pear beverage	['e661']
pear food product	['e662']
pear juice food product	['e663']
pear nectar beverage	['e664']
pear preserve or jam	['e665']
pearl millet food product	['e666']
pecan candy food product	['e667']
pecan nut food product	['e668']
pectin producing plant fruit food product	['e669']
green or red pepper pickle food product	['e670']
pepper vegetable food product	['e671']
peppermint food product	['e672']
perch food product	['e673']
pie food product	['e674']
pigeon pea vegetable food product	['e675']
pike food product	['e676']
pimiento pepper food product	['e677']
pineapple food product	['e678']
pineapple juice food product	['e679']
pineapple preserve or jam	['e680']
pinto bean food product	['e681']
plant derived soft drink	['e682']
plant fat or oil refined food product	['e683']
plant floret vegetable food product	['e684']
plant fruit as vegetable food product	['e685']
plant head vegetable food product	['e686']
plant leaf food product	['e687']
plant root vegetable food product	['e688']
plant seed based bakery food product	['e689']
plant seed cereal food product	['e690']
plant seed vegetable food product	['e691']
plant sherbet	['e692']
plant soup food product	['e693']
plant stem or spear food product	['e694']
plantain (musa) food product	['e695']
pleuronectiform fish food product	['e696']
plum fruit food product	['e697']
pomfret food product	['e698']
pompano food product	['e699']
porgy food product	['e700']
organ meat product	['e701']
potato soup food product	['e702']
poultry cured meat	['e703']
poultry fat or oil refined food product	['e704']
poultry product based flavoring or seasoning	['e705']
powdered cow milk food product	['e706']
powdered milk food product	['e707']
prepared hen egg product	['e708']
prune food product	['e709']
prune juice food product	['e710']
pudding food product	['e711']
pufferfish food product	['e712']
pumpkin food product	['e713']
quail egg food product	['e714']
quince food product	['e715']
rabbit meat food product	['e716']
radish food product	['e717']
rainbow trout food product	['e718']
rape fat or oil refined food product	['e719']
rapeseed food product	['e720']
rasberry spread or sauce	['e721']
raspberry preserve or jam	['e722']
raspberry food product	['e723']
red bell pepper food product	['e724']
red currant preserve or jam	['e725']
red kidney bean soup food product	['e726']
red snapper food product	['e727']
redfish perch food product	['e728']
reindeer meat food product	['e729']
reptile egg food product	['e730']
amphibian or reptile food product	['e731']
amphibian or reptile meat food product	['e732']
rhubarb food product	['e733']
rice bean food product	['e734']
rice cereal food product	['e735']
rice flour	['e736']
river herring food product	['e737']
rock cornish fowl meat food product	['e738']
rose food product	['e739']
rosemary food product	['e740']
rye based bakery food product	['e741']
rye cracker food product	['e742']
sablefish food product	['e743']
sage food product	['e744']
saithe food product	['e745']
salmon food product	['e746']
sardine food product	['e747']
sauger food product	['e748']
saurel food product	['e749']
saury food product	['e750']
scallop food product	['e751']
sea animal soup	['e752']
semihard cheese product	['e753']
semisoft cheese product	['e754']
sesame food product	['e755']
shallot food product	['e756']
shark food product	['e757']
sheep meat food product	['e758']
sheep milk beverage	['e759']
cocos fruit product	['e760']
shrimp food product	['e761']
siluriform fish food product	['e762']
skipjack tuna food product	['e763']
smelt food product	['e764']
nata de coco	['e765']
snail food product	['e766']
snake meat food product	['e767']
snapper food product	['e768']
snow crab food product	['e769']
sockeye salmon food product	['e770']
soft cheese food product	['e771']
soft wheat food product	['e772']
sole food product	['e773']
soy based formula food product	['e774']
doujiang	['e775']
soybean seed (field) food product	['e776']
soybean food product	['e777']
spinach food product	['e778']
sprat food product	['e779']
squash food product	['e780']
squat lobster food product	['e781']
squid food product	['e782']
steeped beverage product	['e783']
stone fruit food product	['e784']
stone fruit juice	['e785']
stone pine nut food product	['e786']
strawberry spread or sauce	['e787']
strawberry food product	['e788']
strawberry preserve or jam	['e789']
sturgeon food product	['e790']
sugar based cacao food product	['e791']
sugar beet food product	['e792']
sunflower food product	['e793']
surfclam food product	['e794']
sweet pea food product	['e795']
sweet potato food product	['e796']
sweet roll or sweet bun food product	['e797']
pork cured meat food product	['e798']
swine fat or oil refined food product	['e799']
swine snack food	['e800']
swine sausage	['e801']
swordfish food product	['e802']
tamarind food product	['e803']
taro food product	['e804']
tarragon food product	['e805']
thyme food product	['e806']
tomato juice food product	['e807']
tomato soup food product	['e808']
tomato (whole or pieces)	['e809']
trout food product	['e810']
tuna food product	['e811']
turbot food product	['e812']
turkey pie food product	['e813']
turmeric food product	['e814']
turnip food product	['e815']
turtle egg food product	['e816']
uncured cheese food product	['e817']
uncured cow milk cheese food product	['e818']
vanilla bean food product	['e819']
vegetable pickle food product	['e820']
vegetable soup food product	['e821']
walnut food product	['e822']
water chestnut food product	['e823']
watermelon food product	['e824']
wax bean food product	['e825']
whale food product	['e826']
whale meat food product	['e827']
wheat based bakery food product	['e828']
wheat based cake food product	['e829']
wheat based pastry food product	['e830']
wheat cereal food product	['e831']
wheat cracker food product	['e832']
whey based formula food product	['e833']
cow whey food product	['e834']
white asparagus vegetable food product	['e835']
white pepper food product	['e836']
whitefish (genus coregonus) food product	['e837']
whiting food product	['e838']
wolffish food product	['e839']
wood apple food product	['e840']
yam food product	['e841']
yellow perch food product	['e842']
yellowfin tuna food product	['e843']
youngberry food product	['e844']
food product by organism	['e845']
an	['e846']
sweet bean paste	['e847']
azuki bean paste	['e848']
shiro an	['e849']
apple must	['e850']
tuna scrape	['e851']
mammalian buttermilk	['e852']
mammalian milk cream (18%+)	['e853']
carob food product	['e854']
cactus food product	['e855']
castor bean food product	['e856']
apple pie (baked, frozen)	['e857']
pie (baked, frozen)	['e858']
bean flour	['e859']
apple (raw, sliced)	['e860']
cambozola cheese	['e861']
canastrato cheese	['e862']
agave food product	['e863']
roquefort cheese	['e864']
stracchino cheese	['e865']
mizuna greens bunch (raw)	['e866']
adzuki bean food product	['e867']
mint food product	['e868']
