foodatlas_id	head_id	relationship_id	tail_id	metadata_ids
t319	e8381	r1	e65064	['mc326']
t320	e8381	r1	e57863	['mc327']
t321	e8381	r1	e203826	['mc328']
t322	e8381	r1	e203956	['mc329']
t323	e8381	r1	e203931	['mc330']
t324	e8381	r1	e203900	['mc331']
t325	e8381	r1	e203822	['mc332']
t326	e8381	r1	e203988	['mc333']
t327	e8381	r1	e203962	['mc334']
t328	e8381	r1	e14120	['mc335']
t329	e8381	r1	e203904	['mc336']
t330	e8381	r1	e63305	['mc337']
t331	e8381	r1	e62045	['mc338']
t332	e8381	r1	e203903	['mc339']
t333	e8381	r1	e203821	['mc340']
t334	e8381	r1	e60254	['mc341']
t335	e8381	r1	e204014	['mc342']
t336	e8381	r1	e61340	['mc343']
t337	e8381	r1	e204021	['mc344']
t338	e8381	r1	e13788	['mc345']
t339	e8381	r1	e203958	['mc346']
t340	e8381	r1	e203920	['mc347']
t341	e8381	r1	e203996	['mc348']
t342	e8381	r1	e204015	['mc349']
t343	e8381	r1	e203933	['mc350']
t344	e8381	r1	e203986	['mc351']
t345	e8381	r1	e203913	['mc352']
t346	e8381	r1	e203852	['mc353']
t347	e8381	r1	e63271	['mc403', 'mc354']
t348	e8381	r1	e204007	['mc355']
t349	e8381	r1	e204005	['mc356']
t350	e8381	r1	e63177	['mc357']
t351	e8381	r1	e203930	['mc358']
t352	e8381	r1	e59722	['mc359']
t353	e8381	r1	e63807	['mc360']
t354	e8381	r1	e61980	['mc361']
t355	e8381	r1	e204020	['mc362']
t356	e8381	r1	e61782	['mc363']
t357	e8381	r1	e65100	['mc364']
t358	e8381	r1	e203831	['mc365']
t359	e8381	r1	e203942	['mc366']
t360	e8381	r1	e203824	['mc367']
t361	e8381	r1	e203901	['mc368']
t362	e8381	r1	e64214	['mc370']
t363	e8381	r1	e203829	['mc371']
t364	e8381	r1	e203911	['mc372']
t365	e8381	r1	e204017	['mc373']
t366	e8381	r1	e62146	['mc374']
t367	e8381	r1	e203902	['mc375']
t368	e8381	r1	e203874	['mc376']
t369	e8381	r1	e203950	['mc377']
t370	e8381	r1	e61149	['mc378']
t371	e8381	r1	e63841	['mc379']
t372	e8381	r1	e203932	['mc380']
t373	e8381	r1	e203943	['mc381']
t374	e8381	r1	e204011	['mc382']
t375	e8381	r1	e203940	['mc383']
t376	e8381	r1	e204019	['mc384']
t377	e8381	r1	e203993	['mc385']
t378	e8381	r1	e203928	['mc386']
t379	e8381	r1	e203876	['mc387']
t380	e8381	r1	e203941	['mc388']
t381	e8381	r1	e12449	['mc389']
t382	e8381	r1	e203918	['mc390']
t383	e8381	r1	e63804	['mc391']
t384	e8381	r1	e14561	['mc392']
t385	e8381	r1	e64215	['mc393']
t386	e8381	r1	e64386	['mc394']
t387	e8381	r1	e204009	['mc395']
t388	e8381	r1	e203939	['mc396']
t389	e8381	r1	e63844	['mc397']
t390	e8381	r1	e203906	['mc398']
t391	e8381	r1	e61406	['mc399']
t392	e8381	r1	e61640	['mc400']
t393	e8381	r1	e203987	['mc402']
t394	e8381	r1	e203926	['mc404']
t395	e8381	r1	e203938	['mc405']
t396	e8381	r1	e204018	['mc406']
t397	e8381	r1	e203961	['mc407']
t398	e8381	r1	e203832	['mc408']
t399	e5175	r1	e57866	['mc409']
t400	e5175	r1	e64213	['mc410']
t401	e5175	r1	e203852	['mc411']
t402	e5175	r1	e62045	['mc412']
t403	e5175	r1	e57863	['mc413']
t404	e5175	r1	e63558	['mc414']
t405	e5175	r1	e63271	['mc415', 'mc438']
t406	e5175	r1	e14561	['mc416']
t407	e5175	r1	e203826	['mc417']
t408	e5175	r1	e63842	['mc418']
t409	e5175	r1	e12449	['mc419']
t410	e5175	r1	e65100	['mc420']
t411	e5175	r1	e203829	['mc421']
t412	e5175	r1	e63305	['mc422']
t413	e5175	r1	e64386	['mc423']
t414	e5175	r1	e10897	['mc424']
t415	e5175	r1	e203821	['mc425']
t416	e5175	r1	e14120	['mc426']
t417	e5175	r1	e64214	['mc427']
t418	e5175	r1	e61640	['mc428']
t419	e5175	r1	e61980	['mc429']
t420	e5175	r1	e13788	['mc430']
t421	e5175	r1	e62146	['mc431']
t422	e5175	r1	e60839	['mc432']
t423	e5175	r1	e63807	['mc433']
t424	e5175	r1	e60254	['mc434']
t425	e5175	r1	e63844	['mc435']
t426	e5175	r1	e64215	['mc436']
t427	e5175	r1	e203831	['mc437']
t428	e5175	r1	e61340	['mc439']
t429	e5175	r1	e63840	['mc440']
t430	e5175	r1	e59722	['mc441']
t431	e5175	r1	e66290	['mc442']
