criterion_id,signal_target_id,market_key,required_brand_id,required_parent_id,match_field,match_mode,match_value,match_value_normalized,review_state,confidence_state,lineage_reference,notes
SPC-0016,TGT-125,NZ,B0175,P0040,product_name,phrase_contains,fruit and spice extra thick,fruit and spice extra thick,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook product_match_terms
SPC-0017,TGT-125,NZ,B0175,P0040,gtin,exact,9414987012252,9414987012252,reviewed,confirmed,MPI-VOGELS-METAL-20260811,Derived mechanically from workbook verified_gtins
SPC-0018,TGT-126,AU,B0796,P0175,product_name,phrase_contains,szechuan chilli oil,szechuan chilli oil,reviewed,confirmed,FSANZ-MRCHENS-20260818,Derived mechanically from workbook product_match_terms
SPC-0019,TGT-126,AU,B0796,P0175,gtin,exact,9349673005624,9349673005624,reviewed,confirmed,FSANZ-MRCHENS-20260818,Derived mechanically from workbook verified_gtins
SPC-0020,TGT-127,AU,B0799,P0178,product_name,phrase_contains,cookia matcha chocolate flavor,cookia matcha chocolate flavor,reviewed,confirmed,FSANZ-REDHAT-20260911,Derived mechanically from workbook product_match_terms
SPC-0021,TGT-127,AU,B0799,P0178,product_name,phrase_contains,cookia matcha chocolate flavour,cookia matcha chocolate flavour,reviewed,confirmed,FSANZ-REDHAT-20260911,Derived mechanically from workbook product_match_terms
SPC-0022,TGT-127,AU,B0799,P0178,gtin,exact,4975186250043,4975186250043,reviewed,confirmed,FSANZ-REDHAT-20260911,Derived mechanically from workbook verified_gtins
SPC-0023,TGT-128,AU,B0800,P0179,product_name,phrase_contains,sweet chilli and lime salmon portions,sweet chilli and lime salmon portions,reviewed,confirmed,FSANZ-JCSEAFOOD-20260910,Derived mechanically from workbook product_match_terms
SPC-0024,TGT-128,AU,B0800,P0179,product_name,phrase_contains,sweet chilli & lime salmon portions,sweet chilli lime salmon portions,reviewed,confirmed,FSANZ-JCSEAFOOD-20260910,Derived mechanically from workbook product_match_terms
SPC-0025,TGT-129,AU,B0797,P0176,product_name,phrase_contains,certified organic premium peppermint leaf,certified organic premium peppermint leaf,reviewed,confirmed,FSANZ-AUSTRALHERBS-20260909,Derived mechanically from workbook product_match_terms
SPC-0026,TGT-129,AU,B0797,P0176,product_name,phrase_contains,premium peppermint leaf,premium peppermint leaf,reviewed,confirmed,FSANZ-AUSTRALHERBS-20260909,Derived mechanically from workbook product_match_terms
SPC-0027,TGT-130,AU,B0798,P0177,product_name,phrase_contains,brie,brie,reviewed,confirmed,FSANZ-MONSIRE-AU-20260904,Derived mechanically from workbook product_match_terms
SPC-0028,TGT-131,NZ,B0801,P0180,product_name,phrase_contains,fried bean curd,fried bean curd,reviewed,confirmed,MPI-DONGWON-20260911,Derived mechanically from workbook product_match_terms
SPC-0029,TGT-131,NZ,B0801,P0180,gtin,exact,8801047559610,8801047559610,reviewed,confirmed,MPI-DONGWON-20260911,Derived mechanically from workbook verified_gtins
SPC-0030,TGT-132,NZ,B0001,P0001,product_name,phrase_contains,multi grain cereal,multi grain cereal,reviewed,confirmed,MPI-WOOLWORTHS-MULTIGRAIN-20260908,Derived mechanically from workbook product_match_terms
